facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
3146,ZOO - MONKEY ISLAND*,1 Zoo Rd,San Francisco,94132,7281009,Own,49,Recreation And Parks,,-122.5015656,37.73359982,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.73359982400001', 'longitude': '-122.50156555799998'}",7,
,,,,,,,,,,,,,,
1377,Raymond Kimbell Fieldhouse,1901 Geary Blvd,San Francisco,94115,706001,Own,49,Recreation And Parks,,-122.4345432,37.78305054,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.78305053700001', 'longitude': '-122.43454318900001'}",5,
,,,,,,,,,,,,,,
656,Fac. 2000 - Ferry Plaza,San Francisco Ferry Bldg,San Francisco,94105,9900501,Own,46,Port,126225,-122.392368,37.79533761,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.79533760800001', 'longitude': '-122.392368014'}",3,
,,,,,,,,,,,,,,
615,Dr William Cobb Elementary,2725 California St,San Francisco,94115,1027022,Own,16,School District (Sfusd),36246,-122.4396266,37.78770184,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.787701836', 'longitude': '-122.43962657600002'}",2,
,,,,,,,,,,,,,,
1419,Rosa Parks Elementary / Raphael Weill CDC,1501 OFarrell St,San Francisco,94115,723042,Own,16,School District (Sfusd),66900,-122.4300115,37.7834934,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.78349340300002', 'longitude': '-122.43001154000001'}",5,
,,,,,,,,,,,,,,
1749,Tenderloin Rec Center,570 Ellis St,San Francisco,94102,322005,Own,49,Recreation And Parks,10408,-122.4154436,37.78480887,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.784808870999996', 'longitude': '-122.415443579'}",6,
,,,,,,,,,,,,,,
3203,SE DIGESTER BLDG & BOILERS,1800 Oakdale Ave,San Francisco,94124,5304005,Own,47,Public Utilities Commission,,-122.3935567,37.73816887,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.738168873000006', 'longitude': '-122.39355667400002'}",10,
,,,,,,,,,,,,,,
112,Alice Chalmers Clubhouse,670 Brunswick St,San Francisco,94112,6474042,Own,49,Recreation And Parks,2505,-122.4470033,37.70953174,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.709531742000024', 'longitude': '-122.447003258'}",11,
,,,,,,,,,,,,,,
600,1680 Mission St Building,1680 Mission St,San Francisco,94103,3512010,Lease,9,Non-City,,-122.4199368,37.77079136,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.77079136100002', 'longitude': '-122.419936823'}",6,Public Works
,,,,,,,,,,,,,,
302,Cabin #28,32560 Mather Rd,Groveland,95321,,Own,49,Recreation And Parks,,-119.8537377,37.88083037,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.88083036699999', 'longitude': '-119.85373773100002'}",,
,,,,,,,,,,,,,,
3051,CORP. YARD P.PATROL/SHOPS*,100 Martin Luther King Dr,San Francisco,94117,1263011,Own,49,Recreation And Parks,,-122.4612028,37.7673927,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.767392700000016', 'longitude': '-122.46120279899998'}",5,
,,,,,,,,,,,,,,
1227,Panhandle Bathroom & Staff Bldg,Oak St & Ashbury St,San Francisco,94117,1263011,Own,49,Recreation And Parks,,-122.4810267,37.76906878,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76906878199998', 'longitude': '-122.48102672099998'}",1,
,,,,,,,,,,,,,,
788,GGP -- Convenience Station,Middle Dr  Gg Park,San Francisco,94122,1263011,Own,49,Recreation And Parks,,-122.4810267,37.76906878,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76906878199998', 'longitude': '-122.48102672099998'}",1,
,,,,,,,,,,,,,,
3193,SE #1 & 2 WATER P. STA. -925,1700 Jerrold Ave,San Francisco,94124,5304005,Own,47,Public Utilities Commission,,-122.3910786,37.74287266,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.74287265999999', 'longitude': '-122.39107855700001'}",10,
,,,,,,,,,,,,,,
378,Camp Mather General Store,32560 Mather Rd,Groveland,95321,,Own,49,Recreation And Parks,,-119.855425,37.88301378,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.88301378099999', 'longitude': '-119.85542499299999'}",,
,,,,,,,,,,,,,,
1277,Pier 22 ½  - SFFD.  Firehouse.,48 The Embarcadero,San Francisco,94105,9900022H,Own,46,Port,4960,-122.3884401,37.79022103,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.79022102599998', 'longitude': '-122.38844006900001'}",6,
,,,,,,,,,,,,,,
584,3120 Mission St,3120 Mission St,San Francisco,94110,6574001A,Lease,9,Non-City,,-122.4189585,37.74756262,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.74756262300002', 'longitude': '-122.418958476'}",9,Human Services Agency
,,,,,,,,,,,,,,
712,Fire Station #3,1067 Post St,San Francisco,94109,693018,Own,38,Fire Department,8000,-122.419321,37.7866412,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.78664120399998', 'longitude': '-122.41932098400002'}",6,
,,,,,,,,,,,,,,
2049,Moscone Rec Center,1800 Chestnut St,San Francisco,94123,469001,Own,49,Recreation And Parks,8929,-122.433046,37.80145337,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.80145336999999', 'longitude': '-122.43304599300001'}",2,
,,,,,,,,,,,,,,
3103,ZSFGH - Building 10,1001 Potrero Ave,San Francisco,94110,4154001,Own,72,Public Health,,-122.4058542,37.75628953,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.75628953299997', 'longitude': '-122.40585419799999'}",10,
,,,,,,,,,,,,,,
31,2275 | Pier 27 Adm/Pier 29 Annex,Pier 27,San Francisco,94111,9900501,Own,46,Port,11800,-122.4010816,37.80533287,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.805332873', 'longitude': '-122.40108163899998'}",3,
,,,,,,,,,,,,,,
3339,900 Innes Ave,900 Innes Ave,San Francisco,94124,4629A010,Own,49,Recreation And Parks,,-122.3757814,37.73218698,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.732186980999984', 'longitude': '-122.37578143500002'}",10,
,,,,,,,,,,,,,,
1186,Noriega CDC,1775 44th Ave,San Francisco,94122,2005002,Own,16,School District (Sfusd),14700,-122.5036589,37.75384963,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.753849633000016', 'longitude': '-122.50365892000002'}",4,
,,,,,,,,,,,,,,
